"";"Group.1";"taux_CHOM1564_POP1564";"P20_CHOM1564";"P20_POP1564";"euclidean_distance";"euclidean_distance_centroid";"VAL";"NBFLUX_C19_ACTOCC15P"
"804";"91226";7,20062501295279;1128,62420379274;12925,5547800157;21296,7093500454;32164,9049979247;8983,56;1419,90601783362
"805";"91228";7,65862510716797;1191,84036797275;12926,0689963402;28733,8113144345;31687,6428341865;59243,11;38635,6700908456
"806";"91232";7,29144727895742;1011,40912049916;10698,6850843532;16563,7078849663;37264,0243479602;4981,14;813,204653805401
"807";"91235";7,99301628747774;1685,28316713369;18119,4884895561;21798,5138622803;27193,9566903036;22375,03;5103,87960366407
"808";"91240";5,3209241810471;8,77095935101912;168,336861697766;1366,49651649588;57435,6825691875;119,38;9,70903276140197
"809";"91243";7,04918094925795;941,003889823584;11285,3130982074;13823,1715008885;30193,4688083131;4031,98;457,426739239277
"810";"91244";7,89298946790253;1155,50003806703;12622,9792034348;12618,3001677869;31998,8072943865;2386,86;241,948490177129
"811";"91247";7,50731958423782;517,570446408573;5048,16656522503;5396,18046559306;48485,6551609825;348,31;34,4344402435094
"812";"91248";7,83404129490243;1044,97225585354;10620,9111394868;17152,0638620051;39540,3161100643;657,66;36,6371265021365
"813";"91249";7,06509161430257;823,200833736437;9266,81860438143;13115,52663361;28272,3836438059;2680,72;418,894052060711
"814";"91272";7,5701736669176;1655,35541230217;18320,3938526202;22453,7586282515;23449,5594770763;31103,7;9245,63721363218
"815";"91273";6,30740989672883;133,435544204207;2030,93800493674;11736,4750825951;43893,9015826438;335,48;80,3330073718069
"816";"91274";7,05244410082569;1471,85775476906;18048,1678775949;17276,3147155157;26054,5407912838;3097;311,782311384974
"817";"91275";7,13791808557653;1286,27395105279;15857,9034574045;15410,0400930218;25285,5862401456;3130,69;493,287575367206
"818";"91284";5,90810754198709;155,115523692767;2097,61075094052;4300,86323327947;45580,0709170323;258,23;83,1928898502281
"819";"91286";8,23625308582584;1714,87607276001;18097,3434480637;23980,2160638527;27427,2190394735;26602,13;7197,83093157466
"820";"91292";7,53871419168373;1268,1346940027;13173,3571637881;17537,7128950219;29753,1357907413;6244,86;473,479032191792
"821";"91293";7,23184879799091;948,907052881773;9166,77131739245;12486,2489785125;39282,507424813;1736,57;123,280603709576
"822";"91294";7,07308100051242;780,787055114488;7552,23505735686;16029,6887971043;47739,4006426971;1705,44;113,566973959381
"823";"91312";8,45452239310732;2250,44251166398;23926,9476868168;18666,4443072386;20451,7182292337;13012,58;1906,12929075846
"824";"91315";7,09024221215134;801,393081408336;9510,59220659332;15314,188537507;33775,042792058;5907,81;826,795566414568
"825";"91318";7,50957791957385;713,045710997875;7862,1820303424;11725,3024431495;38845,4627598577;1512,97;202,661309668275
"826";"91319";7,01980533650477;863,675997718584;9775,36337753291;13897,688440829;28601,1239431839;1516,56;118,109401904766
"827";"91326";8,33994181721994;1947,35362847736;20467,2935188957;19480,3815421987;23307,0211068618;17007,44;4849,20497010945
"828";"91330";7,55108816362598;1625,47755388197;18273,4074063779;23198,1934678215;27282,5258743161;17611,67;2690,61017465549
"829";"91332";7,77196535099413;976,663042413363;9319,79111278706;11342,4659142031;34939,2742500964;1298,36;149,03302964057
"830";"91333";7,47890789947481;1071,69787130314;12139,4379675372;14792,7407701616;32342,0447816486;3310,96;462,620162880431
"831";"91338";7,29668343202329;1750,47941983332;20368,7771974534;20701,4746628572;23130,3522097439;15824,05;2402,98383565947
"832";"91339";7,89806354414749;1786,36653045292;19342,0567861617;19096,6950416103;24327,064518861;9568,09;1395,23543707109
"833";"91340";7,71054264453023;1411,81426677118;15435,7316558581;25678,8275859592;29370,1834435807;37426,87;7618,41770049214
"834";"91345";7,99475212651651;1800,86837551163;19517,850821804;20564,9547010794;23276,1203123202;24279,07;6964,86789991918
"835";"91347";7,51442505727148;1641,29226928351;18874,8555705255;16502,6308489922;23598,834205322;11153,46;1609,97552627065
"836";"91359";7,44756495942063;590,650571338363;6290,95195594916;20275,3520484397;46856,8335610475;4352,34;493,467499618642
"837";"91363";7,76383549582112;1691,95108689941;18896,5067333706;21833,1994676495;24583,4410421324;27741,25;3356,72111651614
"838";"91376";7,98926070768899;1579,43265217641;17102,8338309183;20193,1720943319;28427,9712733713;10061,11;1319,30993429093
"839";"91377";7,73945107297601;1312,72018758541;14275,4618433151;25744,2224839778;27062,7404438385;52242,16;29396,2192043944
"840";"91378";7,3573915621605;850,542308884741;10474,2084784225;15550,3541546775;37622,8534845502;2004,24;155,850348434234
"841";"91386";7,5237978066474;1270,07020388602;14518,9897094582;21146,4277422106;30639,4607626951;16590,5;3275,97434603091
"842";"91390";6,94380723253732;1046,54565962254;12328,1585179132;31683,2232609081;37038,9805389108;6066,44;656,401120295229
"843";"91393";7,74109564718474;532,818325955411;5248,06259626666;7921,92108246977;53764,2459724863;402,62;47,2750013166132
"844";"91399";5,72919415823513;136,782993129063;2108,59289355535;8272,38961873086;48918,6558209081;176,7;10,5869330242916
"845";"91405";7,41174276458852;831,337744183745;9514,6576200571;24994,8934853304;43047,1940830886;15009,67;1860,85109089477
"846";"91408";8,6157320152461;1212,37536509014;12362,4145503396;20465,336612854;43760,5183978237;2453,76;140,595219888463
"847";"91411";7,16468018523531;811,312497269147;9836,20460656482;16504,3336024278;29734,7914301065;4192,81;366,20685935628
"848";"91412";7,79656027987284;1645,77940401196;13099,6276213841;21903,3249927606;28414,6292753581;761,42;124,985765551074
"849";"91414";7,92376623291944;111,163368153809;1250,03237374626;3890,50892536054;60461,2793986683;254,18;45,0368428720743
"850";"91421";8,08886979913464;1782,16338734978;19745,7855704054;18648,0998732338;23029,7922079687;16232,2;5411,64765508711
"851";"91425";7,7131031429192;1375,54024479723;15434,8421837278;20316,6319072222;27090,8825222655;18986,32;3524,03733467711
"852";"91432";8,24718548870998;1842,46550987228;19781,4046530832;21718,450575457;23809,176358923;28098,58;5663,0638419343
"853";"91433";7,53717262752758;1739,97402481289;17762,8177845808;23547,7834698312;34186,8478585131;7346,79;820,336476791087
"854";"91434";8,00584212076247;1958,24257063406;21252,1984665705;16902,9715000644;23472,3965784719;9790,63;2888,25018425908
"855";"91435";8,83437334175412;1492,07654779694;14908,9400232105;9813,61670824027;33794,3667568392;915,52;126,021673159572
"856";"91441";7,81777312320434;1192,1293784143;14906,2243927715;6161,92618088599;34712,2470073954;218,33;54,0005294224024
"857";"91457";7,27718030162205;820,86176233729;9150,6885192708;15134,0729974969;32477,6439729054;5796,28;949,062703845061
"858";"91458";7,60109770901411;1756,40868804502;19940,4090119779;22085,7335519944;21772,8685104911;26401,31;4636,92521719928
"859";"91461";7,39974385862994;1353,43622453103;15801,4505654192;18906,5614325576;27653,3988386871;10631,5;1361,96560736471
"860";"91463";7,05777382093232;428,960944329783;4761,81674458487;12823,9834489431;46125,6952611762;1005,78;126,226222395444
"861";"91468";8,35284190242255;1690,96162609423;17334,8713412825;20369,7419042678;30887,1720282592;7435,51;746,033504430549
"862";"91469";7,96383590730819;857,563410077084;10389,6514629033;20855,0883760819;46452,8544229;1222,62;95,747377563984
"863";"91471";7,68901888668192;1669,11076987843;18458,8135897513;21325,1524379319;23447,6050560873;27611,22;10080,0645104884
"864";"91477";7,90094210472104;1598,86699998813;17379,7180601621;23379,1723133555;24348,0250836184;38589,72;15573,0346820179
"865";"91479";8,18373255670624;1971,8199465749;21288,6495163131;19128,7349387742;20804,7568424132;21926,8;4277,42258384259
"866";"91482";5,7944901281495;429,130488028073;6504,45685723415;10219,6315931891;30243,1352235744;997,44;111,27240598034
"867";"91494";7,6591606145563;1393,70202985136;15468,915228471;21689,4912085634;29456,426452699;19736,46;2222,42838691849
"868";"91495";9,01873406709456;1261,57944512372;11082,914846851;13257,0172173687;41827,7929341147;231,05;34,9512579199634
"869";"91507";6,72942425401485;526,126697444123;6488,01712242027;16953,2223987054;43213,1700334016;887,66;63,1141644165644
"870";"91508";7,22549334070389;460,061307610393;5154,29683906214;14719,9632702327;41540,9239685716;259,97;18,2407228980444
"871";"91511";7,25995024669123;1152,40451723705;14661,5055956418;15467,6668795735;49001,1347501622;1647,43;272,052411834682
"872";"91514";8,0507335414216;1603,38433430223;17225,6134902753;19447,1548802053;28492,6844861581;13088,67;2316,65490134741
"873";"91519";6,74761055471715;20;308;2888,53264525675;52635,9892990805;73,75;45,1675713463279
"874";"91521";8,11704139481328;1786,39969331894;18819,8665871272;22558,4745821998;25818,8767896589;23719,97;6492,59189594104
"875";"91525";6,65899921748211;325,94379352836;3863,57501506687;11639,9525399971;39214,4180233614;1458,2;185,223057107485
"876";"91533";7,50642420361672;616,785707486113;6708,34659430531;20589,1671606659;44444,1244937283;2144,15;318,726239865738
"877";"91534";7,88634556606516;1733,80331361521;18718,0866001385;22061,6465972242;23603,6124800131;31947,6;5134,35552722073
"878";"91538";7,6439058659089;1890,93354175928;22806,5522713003;17822,7526185283;19959,9856355666;9425,88;662,87757937215
"879";"91540";7,13157431755953;1185,99944470668;13767,723154966;17276,1404184438;30265,2584054464;4943,2;872,106395450471
"880";"91544";7,58502447227697;940,305278714786;9825,03841534869;29787,9473460719;50058,8646739903;438,37;63,0487639105418
"881";"91546";6,41726786004523;904,775190777767;11882,890179191;14186,5099695668;32018,583036216;2038,28;130,635915523949
"882";"91547";8,07279059303935;597,762722164722;5882,66922702607;16593,5700276751;42103,0005238735;426,95;40,4107621916506
"883";"91549";7,68728570303328;1459,27675129027;16077,0306235322;22364,7447067038;27890,2859149407;28361,25;10332,0769218216
"884";"91552";7,83145297911976;1512,08489555078;16267,159613776;20002,3504713287;28287,7678759188;11915,34;2083,05586227
"885";"91553";8,10924819005083;1732,96263042197;19132,251270443;15219,5010844458;25733,2113756145;5856,05;1214,17239676803
"886";"91556";6,89392149287192;596,018133733148;7616,53603219592;19771,5171303076;34929,9265391385;179,74;23,4797676447767
"887";"91560";5,95460308423649;1831,31118841639;21805,6060164886;12672,6144741496;21954,6859927898;591,4;54,8174632948381
"888";"91568";6,57074199817144;515,400787996037;7504,18496926406;11465,1485965513;25263,8662950555;373,99;62,2117940076315
"889";"91570";7,67750602845233;1615,09266781678;18064,135274555;20816,763402201;27066,986156719;19711,75;4280,74942030737
"890";"91573";8,2451965457907;1783,29576582588;19069,003105868;22342,6630878808;26076,1176318138;16359,25;2231,55907294688
"891";"91577";8,64113830916515;1789,97145357326;18077,0671592553;13936,025789077;28282,128754177;2866,87;580,149785945107
"892";"91578";8,64108777672572;3219,08139718338;31874,0015443585;17423,9289780031;30733,7024968123;582,35;46,2119764071528
"893";"91579";7,31781592142047;1344,96686748945;14449,5649768723;14419,0424865996;31275,6124799885;3431,37;395,830934649869
"894";"91581";7,84519552939561;538,447658202176;5750,49084288524;5359,89275880402;35726,9438090179;406,68;67,8433403584442
"895";"91587";7,98819862713678;2054,44969004324;22088,01530944;15774,3246681713;21988,3746224372;9275,67;1543,21178638748
"896";"91589";8,29741076507539;2010,80806149105;21242,6251920526;17581,2599523621;21937,4843249855;14917,72;5636,51797037106
"897";"91593";7,1607946680503;496,931008364022;5007,87492917619;11265,9389035811;43331,3847697033;928,64;146,827573699276
"898";"91599";7,15813598319769;624,171906214542;6497,81244368908;15904,2983387278;44229,8933876786;4910,6;326,611068522496
"899";"91600";8,02227752877377;1390,61954653353;15741,8894542229;15043,5971814858;26369,4544411804;5747,83;1270,35516942112
"900";"91602";7,9788646603271;715,574062815322;7018,36869641252;16461,4718148566;39090,3647301242;1606,36;100,389552738329
